datetime	high	low	open
2025-11-04 07:00:00	203.5500	202.2600	203.1900
2025-11-04 08:00:00	206.8800	201.4000	203.6200
2025-11-04 09:00:00	203.9699	180.2800	202.4400
2025-11-04 10:00:00	203.8599	201.1550	203.8000
2025-11-04 11:00:00	202.3000	200.9241	201.6250
2025-11-04 12:00:00	201.5500	199.8000	201.4900
2025-11-04 13:00:00	200.8500	199.2001	200.6200
2025-11-04 14:00:00	200.7600	198.5800	200.3600
2025-11-04 15:00:00	200.2600	197.9300	199.0799
2025-11-04 16:00:00	209.5854	196.4900	198.7000
2025-11-04 17:00:00	212.9972	116.4917	197.9500
2025-11-04 18:00:00	197.5000	195.3605	196.9700
2025-11-04 19:00:00	195.9500	195.0000	195.9299
2025-11-05 04:00:00	198.4000	196.5900	197.0900
2025-11-05 05:00:00	197.5700	195.9200	197.3600
2025-11-05 06:00:00	196.6400	195.5400	195.9300
2025-11-05 07:00:00	197.9800	195.9900	196.4700
2025-11-05 08:00:00	207.3450	195.5500	197.7600
2025-11-05 09:00:00	200.3400	196.9800	199.6600
2025-11-05 10:00:00	202.7900	199.3500	199.9900
2025-11-05 11:00:00	202.9200	201.3100	202.5600
2025-11-05 12:00:00	202.0800	200.9600	202.0200
2025-11-05 13:00:00	202.2750	200.6800	201.1800
2025-11-05 14:00:00	201.6967	200.8700	201.6901
2025-11-05 15:00:00	201.4900	194.6500	201.3300
2025-11-05 16:00:00	208.0000	183.8200	195.1500
2025-11-05 17:00:00	206.7285	179.4001	195.9400
2025-11-05 18:00:00	197.3500	196.5200	197.2000
2025-11-05 19:00:00	197.4000	196.1000	197.3500
2025-11-06 04:00:00	197.9600	196.5900	196.9400
2025-11-06 05:00:00	198.3100	197.3600	197.5400
2025-11-06 06:00:00	198.3700	197.8100	197.8700
2025-11-06 07:00:00	198.5400	197.8300	198.0200
2025-11-06 08:00:00	198.5300	195.0000	197.2200
2025-11-06 09:00:00	202.3350	193.1650	196.7200
2025-11-06 10:00:00	193.7500	189.0000	193.6100
2025-11-06 11:00:00	191.4400	187.9400	190.3600
2025-11-06 12:00:00	189.7600	186.3800	189.0200
2025-11-06 13:00:00	189.9700	187.3100	189.1700
2025-11-06 14:00:00	190.6900	188.5000	188.7600
2025-11-06 15:00:00	190.5094	187.0700	190.3700
2025-11-06 16:00:00	195.2100	170.7800	188.0800
2025-11-06 17:00:00	206.3100	177.1962	189.2500
2025-11-06 18:00:00	189.0500	188.4600	188.5400
2025-11-06 19:00:00	189.9500	188.7000	188.9600
2025-11-07 04:00:00	189.6100	188.1100	189.3900
2025-11-07 05:00:00	188.5600	186.9000	188.4000
2025-11-07 06:00:00	187.2100	185.4600	187.2100
2025-11-07 07:00:00	186.9900	185.0300	186.8000
2025-11-07 08:00:00	197.2650	181.8100	185.6600
2025-11-07 09:00:00	206.9700	182.0900	184.9400
2025-11-07 10:00:00	183.6900	180.4900	183.0850
2025-11-07 11:00:00	180.9850	178.9100	180.5100
2025-11-07 12:00:00	182.9500	179.9800	180.2500
2025-11-07 13:00:00	185.1599	182.5701	182.8850
2025-11-07 14:00:00	187.1500	184.1500	184.4700
2025-11-07 15:00:00	188.3200	185.6400	187.0800
2025-11-07 16:00:00	189.9500	182.7000	188.2500
2025-11-07 17:00:00	189.9000	188.1500	189.8600
2025-11-07 18:00:00	190.0000	188.1500	189.7900
2025-11-07 19:00:00	190.2000	189.9400	189.9900
2025-11-10 04:00:00	194.8500	190.4400	192.8500
2025-11-10 05:00:00	194.9000	193.8000	194.7500
2025-11-10 06:00:00	194.5700	193.8400	194.4200
2025-11-10 07:00:00	194.3500	193.7500	194.1100
2025-11-10 08:00:00	194.9163	182.6355	194.2700
2025-11-10 09:00:00	196.2450	188.1500	194.4150
2025-11-10 10:00:00	197.6700	194.4950	195.0150
2025-11-10 11:00:00	195.2900	193.7900	194.6200
2025-11-10 12:00:00	196.9100	194.9400	195.0500
2025-11-10 13:00:00	197.8800	196.5800	196.5800
2025-11-10 14:00:00	198.3300	196.5850	196.9800
2025-11-10 15:00:00	199.9400	197.9600	198.1950
2025-11-10 16:00:00	199.5400	188.1500	199.0400
2025-11-10 17:00:00	208.9535	134.8200	199.3492
2025-11-10 18:00:00	199.5500	199.0500	199.2500
2025-11-10 19:00:00	200.0600	199.4700	199.5464
2025-11-11 04:00:00	199.8500	196.1300	198.6000
2025-11-11 05:00:00	196.5500	195.3700	196.2400
2025-11-11 06:00:00	196.3500	195.5400	195.6200
2025-11-11 07:00:00	196.4500	194.6200	196.2300
2025-11-11 08:00:00	199.3500	194.6201	196.1800
2025-11-11 09:00:00	195.9000	192.5610	195.4399
2025-11-11 10:00:00	193.8700	191.5600	193.5600
2025-11-11 11:00:00	193.2899	191.3000	192.2900
2025-11-11 12:00:00	193.8000	191.4307	191.4551
2025-11-11 13:00:00	194.6300	193.0800	193.3750
2025-11-11 14:00:00	194.4600	193.5600	194.4600
2025-11-11 15:00:00	194.3400	192.7000	193.8750
2025-11-11 16:00:00	199.0500	192.9000	193.2500
2025-11-11 17:00:00	205.6974	180.4697	193.2150
2025-11-11 18:00:00	194.1300	193.6000	194.0300
2025-11-11 19:00:00	194.2400	193.9000	193.9300
2025-11-12 04:00:00	196.3700	195.3000	195.7400
2025-11-12 05:00:00	196.3900	195.5000	196.1900
2025-11-12 06:00:00	196.1500	194.8100	195.9400
2025-11-12 07:00:00	197.1500	194.8600	195.0100
2025-11-12 08:00:00	199.0500	193.1600	196.1700
2025-11-12 09:00:00	195.9500	191.5901	195.7398
2025-11-12 10:00:00	193.9800	191.6400	192.7150
2025-11-12 11:00:00	193.5600	191.4500	192.4400
2025-11-12 12:00:00	193.1150	191.3900	192.0450
2025-11-12 13:00:00	193.2659	191.3900	192.5400
2025-11-12 14:00:00	192.6400	191.7700	192.3500
2025-11-12 15:00:00	193.9800	191.1300	192.0250
2025-11-12 16:00:00	209.8800	180.0576	193.8600
2025-11-12 17:00:00	199.9690	180.6370	193.3700
2025-11-12 18:00:00	193.3100	191.9000	193.2500
2025-11-12 19:00:00	192.7400	191.9450	192.2800
2025-11-13 04:00:00	194.1600	191.7700	193.4900
2025-11-13 05:00:00	193.1900	192.2900	192.3000
2025-11-13 06:00:00	193.1500	192.2700	192.7600
2025-11-13 07:00:00	192.8000	192.1500	192.5700
2025-11-13 08:00:00	194.1000	191.0100	192.4000
2025-11-13 09:00:00	191.4400	186.9500	191.0200
2025-11-13 10:00:00	191.1699	185.7900	188.2300
2025-11-13 11:00:00	187.0225	185.3500	186.5900
2025-11-13 12:00:00	187.2300	185.5500	185.6500
2025-11-13 13:00:00	186.4150	183.8500	185.6500
2025-11-13 14:00:00	186.4867	183.9600	184.7600
2025-11-13 15:00:00	187.2000	185.1700	185.6400
2025-11-13 16:00:00	193.8000	174.5696	186.9700
2025-11-13 17:00:00	197.3853	173.9552	185.9100
2025-11-13 18:00:00	187.1600	186.3700	186.3800
2025-11-13 19:00:00	186.9400	185.9100	186.6300
2025-11-14 04:00:00	185.2000	183.7700	184.5000
2025-11-14 05:00:00	185.0000	184.0500	184.1600
2025-11-14 06:00:00	184.5800	182.0400	184.4500
2025-11-14 07:00:00	182.9500	180.3900	182.8600
2025-11-14 08:00:00	186.8600	180.4000	180.8800
2025-11-14 09:00:00	187.8200	180.5800	181.2900
2025-11-14 10:00:00	189.5269	185.4700	186.9600
2025-11-14 11:00:00	190.6818	184.0000	188.5800
2025-11-14 12:00:00	190.4000	188.8400	190.0000
2025-11-14 13:00:00	189.8200	188.4000	189.4100
2025-11-14 14:00:00	191.0100	188.5700	189.4800
2025-11-14 15:00:00	190.9500	189.3600	190.7300
2025-11-14 16:00:00	201.5218	179.7988	190.2800
2025-11-14 17:00:00	201.8319	177.4003	189.9500
2025-11-14 18:00:00	193.0750	179.0562	190.3100
2025-11-14 19:00:00	191.0800	190.8300	190.8500
